"subind","N","rt_mean","rt_se","acc_mean","acc_se","groups","city","ID","ID2","rep"
"0_009",2,4.37073993683,0.20415902138,0.857358870967742,0.0136088709677419,"A_first","austin","0","0","u"
"0_013",3,4.75159347057167,0.159258371922008,0.8125,0.0541265877365274,"A_first","austin","0","0","r"
"0_025",1,3.124225497245,NA,0.625,NA,"A_first","austin","0","0","u"
"1_001",3,4.92339364687667,0.0594233664399042,0.864583333333333,0.0208333333333333,"A_first","austin","1","1","r"
"1_002",2,4.5054747462275,0.2326077818875,0.828125,0.015625,"A_first","austin","1","1","u"
"1_004",3,5.62913080056333,0.133149053048689,0.697916666666667,0.0375578257860832,"A_first","austin","1","1","r"
"1_007",2,5.09861558676,0.0931734442700001,0.875,0.0625,"A_first","austin","1","1","r"
"1_015",2,6.266299963,0.0659849643700001,0.734375,0.015625,"A_first","austin","1","1","r"
"1_020",2,5.22244977951,0.35142123699,0.75,0,"A_first","austin","1","1","r"
"1_028",2,4.6235164403925,0.0814245939274998,0.828125,0.046875,"A_first","austin","1","1","r"
"2_008",3,4.22394768397,0.119794140923226,0.90625,0.0650520624833166,"A_first","austin","2","1","r"
"2_010",3,4.55225344499,0.0981971969391134,0.833333333333333,0.0454051973285487,"A_first","austin","2","1","r"
"2_011",2,4.50216782093,0.3303886652,0.703125,0.046875,"A_first","austin","2","1","u"
"2_027",3,3.804541309675,0.159865069243321,0.833333333333333,0.0454051973285487,"A_first","austin","2","1","u"
"2_031",3,3.272897322975,0.0996095699979238,0.875,0.0180421959121758,"A_first","austin","2","1","r"
"0_013",1,4.12705051899,NA,0.838709677419355,NA,"A_second","austin","0","0","r"
"0_026",1,4.9476351738,NA,0.65625,NA,"A_second","austin","0","0","r"
"0_049",3,4.00392647584167,0.225022643169757,0.875,0.03125,"A_second","austin","0","0","u"
"0_055",3,4.91204194227833,0.0851881710822068,0.729166666666667,0.0275599094902562,"A_second","austin","0","0","u"
"1_001",2,4.457016587255,0.178525567055,0.875,0.03125,"A_second","austin","1","1","r"
"1_004",2,5.776787161825,0.163695931434999,0.890625,0.015625,"A_second","austin","1","1","r"
"1_015",3,6.33792396386333,0.324148006678063,0.739583333333333,0.0375578257860832,"A_second","austin","1","1","r"
"1_020",3,4.50024151801833,0.319117427310754,0.833333333333333,0.0104166666666667,"A_second","austin","1","1","r"
"1_028",3,3.42731634776,0.0689559279882022,0.78125,0.0360843918243516,"A_second","austin","1","1","r"
"1_036",2,5.0330992937075,0.2860487699525,0.703125,0.015625,"A_second","austin","1","1","r"
"2_005",3,5.033281763395,0.418208499696156,0.864583333333333,0.0375578257860832,"A_second","austin","2","1","r"
"2_008",3,4.49071208636,0.155290736016176,0.916666666666667,0.0275599094902562,"A_second","austin","2","1","r"
"2_010",3,4.52419618765667,0.316542981364761,0.84375,0.0477351634891233,"A_second","austin","2","1","r"
"2_031",2,3.821044683455,0.0572302341450002,0.921875,0.046875,"A_second","austin","2","1","r"
"2_034",2,5.3537202477475,0.5299476981175,0.71875,0.03125,"A_second","austin","2","1","r"
"2_048",2,5.18254649639,0.22995746136,0.90625,0.0625,"A_second","austin","2","1","u"
"c_018",3,4.41440983613333,0.13206115682581,0.851814516129032,0.0473146439625054,"A_control","austin","c","c","u"
"c_032",3,4.03570652008,0.0831427834013239,0.833333333333333,0.081356767457361,"A_control","austin","c","c","u"
"c_037",2,3.21496939659,0.0819175243400001,0.953125,0.046875,"A_control","austin","c","c","u"
"c_039",3,3.79877646764167,0.468523218446155,0.854166666666667,0.0416666666666667,"A_control","austin","c","c","u"
"c_040",1,3.52407693863,NA,0.90625,NA,"A_control","austin","c","c","u"
"c_043",3,5.01504019895833,0.0783058983059348,0.770833333333333,0.0633621096906065,"A_control","austin","c","c","u"
"c_044",2,4.260716080665,0.0909119844450004,0.890625,0.015625,"A_control","austin","c","c","u"
"c_045",2,3.151875913145,0.188432991505,0.984375,0.015625,"A_control","austin","c","c","u"
"c_046",2,3.63723528385,0.27955687046,0.984375,0.015625,"A_control","austin","c","c","u"
"c_047",2,3.4821256995175,0.2895507216475,0.890625,0.046875,"A_control","austin","c","c","u"
"c_054",2,5.46713745594,0.0820704698600001,0.6875,0.03125,"A_control","austin","c","c","u"
"c_057",2,3.977039515975,0.344612538815,0.890625,0.015625,"A_control","austin","c","c","u"
"c_058",2,1.72517955303,0.0447794199,0.96875,0,"A_control","austin","c","c","u"
"c_059",3,2.62736248970167,0.0835250715016684,0.979166666666667,0.0104166666666667,"A_control","austin","c","c","u"
"c_061",3,4.06922904650333,0.0699049630978335,0.822916666666667,0.0551198189805123,"A_control","austin","c","c","u"
"c_062",2,3.780950784685,0.00938868522500003,0.859375,0.046875,"A_control","austin","c","c","u"
"c_068",2,2.80528229475,0.0782641768499999,0.921875,0.046875,"A_control","austin","c","c","u"
"c_078",2,2.887956500055,0.250172495845,0.90625,0.0625,"A_control","austin","c","c","u"
"c_079",3,4.48920675118833,0.578820564307314,0.916666666666667,0.0104166666666667,"A_control","austin","c","c","u"
"c_081",3,3.484649181365,0.413023113401554,0.895833333333333,0.0416666666666667,"A_control","austin","c","c","u"
"c_082",3,2.86636734008833,0.14332753036429,0.895833333333333,0.0208333333333333,"A_control","austin","c","c","u"
"c_084",3,3.412345369655,0.123539353480051,0.989583333333333,0.0104166666666667,"A_control","austin","c","c","u"
"c_085",2,3.32694900036,0.10731995106,0.890625,0.046875,"A_control","austin","c","c","u"
"c_086",3,3.39153683185667,0.174380533475195,0.90625,0.0180421959121758,"A_control","austin","c","c","u"
"c_101",3,2.853226065635,0.185754829198409,0.947916666666667,0.0520833333333333,"A_control","austin","c","c","u"
