"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",3.78093773841817,0.172267569779498,166,21.9480529228906,6.00665258900184e-51
"cond_typeactive_s",-0.540150306224536,0.123422210858525,166,-4.37644328737306,2.12646839805698e-05
"cond_typepassive_ns",0.189760700067765,0.123422210858525,166,1.53749230991561,0.126076712610907
"cond_typepassive_s",-0.279127851326802,0.123422210858525,166,-2.26156904324746,0.0250219096587723
"groupsA_first",0.943196716966234,0.262116823880563,166,3.59838297672954,0.000422285761287072
"groupsA_second",0.692846853066631,0.260120989630727,166,2.66355611690625,0.00849375694829118
"cond_typeactive_s:groupsA_first",0.181053531434318,0.201547626353054,166,0.898316366758714,0.370318023304126
"cond_typepassive_ns:groupsA_first",0.135461756387795,0.201547626353053,166,0.672107922275926,0.502449369250514
"cond_typepassive_s:groupsA_first",0.429691207938251,0.201547626353053,166,2.13195866264163,0.0344812976970945
"cond_typeactive_s:groupsA_second",0.234457152931878,0.197571937446443,166,1.18669258378576,0.23704444883531
"cond_typepassive_ns:groupsA_second",0.186211554754526,0.197571937446442,166,0.942500018784318,0.347306334451127
"cond_typepassive_s:groupsA_second",0.388302788335238,0.197571937446443,166,1.96537419915973,0.0510394573649352
