"subind","runnum","outliers"
"0_013_second","1",120
"0_013_second","2",89
"0_013_second","3",44
"0_026_second","1",25
"0_049_second","1",18
"0_049_second","2",16
"0_049_second","3",39
"0_055_second","1",1
"0_055_second","2",3
"0_055_second","3",50
"1_001_second","1",0
"1_001_second","1",1
"1_001_second","2",48
"1_001_second","3",101
"1_004_second","1",35
"1_004_second","2",42
"1_004_second","3",132
"1_015_second","1",9
"1_015_second","2",22
"1_015_second","3",14
"1_020_second","1",0
"1_020_second","2",0
"1_020_second","3",3
"1_028_second","1",1
"1_028_second","2",0
"1_028_second","3",8
"1_036_second","1",3
"1_036_second","2",10
"1_036_second","3",11
"2_005_second","1",18
"2_005_second","2",52
"2_005_second","3",32
"2_008_second","1",0
"2_008_second","2",0
"2_008_second","3",8
"2_010_second","1",5
"2_010_second","2",28
"2_010_second","3",5
"2_031_second","1",23
"2_031_second","2",49
"2_034_second","1",1
"2_034_second","2",20
"2_048_second","1",5
"2_048_second","2",108
"2_048_second","3",74
