"subind","runnum","outliers","group"
"0_009","1",11,1
"0_009","2",0,1
"0_013","1",1,1
"0_013","2",44,1
"0_025","1",14,1
"0_026","1",5,1
"0_026","2",27,1
"1_001","1",12,1
"1_001","2",44,1
"1_002","1",5,1
"1_002","2",12,1
"1_004","1",4,1
"1_004","2",9,1
"1_007","1",16,1
"1_007","2",51,1
"1_015","1",5,1
"1_015","2",3,1
"1_020","1",1,1
"1_020","2",2,1
"1_028","1",16,1
"1_028","2",10,1
"2_003","1",7,1
"2_005","1",33,1
"2_005","2",4,1
"2_008","1",0,1
"2_008","2",0,1
"2_010","1",0,1
"2_010","2",4,1
"2_011","1",0,1
"2_027","1",0,1
"2_027","2",3,1
"2_031","1",21,1
"2_031","2",5,1
