"groups","subind","N"
"A_control","c_018",1
"A_control","c_032",1
"A_control","c_037",1
"A_control","c_039",1
"A_control","c_040",1
"A_control","c_043",1
"A_control","c_044",1
"A_control","c_045",1
"A_control","c_046",1
"A_control","c_047",1
"A_control","c_054",1
"A_control","c_057",1
"A_control","c_058",1
"A_control","c_059",1
"A_control","c_060",1
"A_control","c_061",1
"A_control","c_062",1
"A_first","0_009",1
"A_first","0_013",1
"A_first","0_025",1
"A_first","1_001",1
"A_first","1_002",1
"A_first","1_004",1
"A_first","1_007",1
"A_first","1_015",1
"A_first","1_020",1
"A_first","1_028",1
"A_first","2_008",1
"A_first","2_010",1
"A_first","2_011",1
"A_first","2_027",1
"A_first","2_031",1
"A_second","0_013",1
"A_second","0_026",1
"A_second","0_049",1
"A_second","0_055",1
"A_second","1_001",1
"A_second","1_004",1
"A_second","1_015",1
"A_second","1_028",1
"A_second","1_036",1
"A_second","2_005",1
"A_second","2_008",1
"A_second","2_010",1
"A_second","2_031",1
"A_second","2_034",1
"A_second","2_048",1
"H_control_first","1632",1
"H_control_first","1643",1
"H_control_first","3795",1
"H_control_first","3824",1
"H_control_first","6321",1
"H_control_first","6741",1
"H_control_first","8957",1
"H_control_first","8960",1
"H_control_first","8961",1
"H_control_first","8962",1
"H_control_first","8963",1
"H_control_first","8965",1
"H_control_first","8972",1
"H_control_second","1632",1
"H_control_second","1643",1
"H_control_second","3795",1
"H_control_second","3824",1
"H_control_second","6741",1
"H_control_second","8960",1
"H_control_second","8961",1
"H_control_second","8962",1
"H_control_second","8963",1
"H_control_second","8967",1
"H_control_second","8972",1
"H_control_second","8974",1
"H_control_second","9015",1
"H_first","1627_2",1
"H_first","1794_1",1
"H_second","1794_1",1
"H_second","1986_1",1
"H_second","2569_2",1
